Video_ID,Channel_ID,Video_Title,Published_At,Thumbnails,Comments,Likes,Views,Duration,Start_Time,End_Time,Scheduled_Time,Topic_Category
Pij5g5vrE1Y,UCaIrY40rwEf51POKMybW-Eg,Stream Của Một Pro Gamer | YET ANOTHER ZOMBIE SURVIVORS | NIKA LAN LINH,2023-07-22T06:33:22Z,https://i.ytimg.com/vi/Pij5g5vrE1Y/default.jpg,2,233,1716,PT2H6M22S,2023-07-22T04:16:25Z,2023-07-22T06:22:46Z,2023-07-22T04:16:08Z,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Strategy_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']"
-u-gcfHu-Bs,UCaIrY40rwEf51POKMybW-Eg,Bạn Chuột Quẩy Đêm | NIKA LAN LINH,2023-07-19T05:58:28Z,https://i.ytimg.com/vi/-u-gcfHu-Bs/default.jpg,5,204,1488,PT1H23M23S,2023-07-18T16:30:21Z,2023-07-18T17:53:43Z,2023-07-18T16:30:08Z,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']"
iIokrKIg26M,UCaIrY40rwEf51POKMybW-Eg,Linh Rủ Nhỏ Em Quẩy Nát Liên Quân | NIKA LAN LINH,2023-07-18T16:42:26Z,https://i.ytimg.com/vi/iIokrKIg26M/default.jpg,1,239,2663,PT3H8M5S,2023-07-18T13:20:55Z,2023-07-18T16:29:18Z,2023-07-18T13:20:39Z,"['https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Strategy_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']"
b0aifYKCxug,UCaIrY40rwEf51POKMybW-Eg,Linh Rủ Nhỏ Em Quẩy Nát Liên Quân | NIKA LAN LINH,2023-07-17T17:03:51Z,https://i.ytimg.com/vi/b0aifYKCxug/default.jpg,3,282,2587,PT2H53M6S,2023-07-17T13:02:19Z,2023-07-17T15:55:30Z,2023-07-17T13:02:07Z,"['https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Strategy_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']"
aFEfqocBZfQ,UCaIrY40rwEf51POKMybW-Eg,10K view Linh sẽ lộ mặt,2023-07-15T15:29:32Z,https://i.ytimg.com/vi/aFEfqocBZfQ/default.jpg,11,277,2958,PT3H32M54S,2023-07-14T23:37:32Z,2023-07-15T03:16:09Z,2023-07-14T23:32:36Z,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)']
XIiwajDo9kQ,UCaIrY40rwEf51POKMybW-Eg,Phục Thù | ONlY UP! | NIKA LAN LINH,2023-07-10T02:34:44Z,https://i.ytimg.com/vi/XIiwajDo9kQ/default.jpg,4,158,1247,PT1H20M18S,2023-07-09T13:05:44Z,2023-07-09T14:26:05Z,2023-07-09T13:05:30Z,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']"
mFzDnQ_oI3Q,UCaIrY40rwEf51POKMybW-Eg,Phục Thù | ONlY UP! | NIKA LAN LINH,2023-07-10T01:06:42Z,https://i.ytimg.com/vi/mFzDnQ_oI3Q/default.jpg,4,136,818,PT1H3M3S,2023-07-09T12:00:12Z,2023-07-09T13:03:12Z,2023-07-09T11:59:58Z,"['https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']"
LMVJBhnoSss,UCaIrY40rwEf51POKMybW-Eg,ONlY UP ! only you | ONlY UP! | NIKA LAN LINH,2023-07-06T02:01:05Z,https://i.ytimg.com/vi/LMVJBhnoSss/default.jpg,3,225,1736,PT1H34M46S,2023-07-05T12:16:19Z,2023-07-05T13:51:09Z,2023-07-05T12:16:09Z,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']"
ctHwb-7urRw,UCaIrY40rwEf51POKMybW-Eg,Tiramissu | NIKA LAN LINH,2023-07-05T01:20:17Z,https://i.ytimg.com/vi/ctHwb-7urRw/default.jpg,5,190,1187,PT1H10M4S,2023-07-04T12:05:48Z,2023-07-04T13:15:48Z,2023-07-04T12:05:36Z,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)']
ZJzNPAPwwEY,UCaIrY40rwEf51POKMybW-Eg,Câu Like Làm Chi...Linh Đã Live 30 Buổi Lúc Nào Không Hay | NIKA LAN LINH,2023-07-04T11:42:29Z,https://i.ytimg.com/vi/ZJzNPAPwwEY/default.jpg,5,99,649,PT29M1S,2023-07-03T23:07:59Z,2023-07-03T23:36:57Z,2023-07-03T23:07:40Z,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']"
